sure start centre,inputted_ward,bestCode,bestMatch
Dungiven Sure Start,Coolessan,95RR03,Coolessan
Dungiven Sure Start,Greystone,95RR10,Greystone
Last Sure Start,Lisanelly,95YY15,Lisanelly
Last Sure Start,Drumragh,95YY09,Drumragh
Last Sure Start,Killyclogher,95YY14,Killyclogher
Last Sure Start,Camowen,95YY02,Camowen
Last Sure Start,Strule,95YY19,Strule
Last Sure Start,Fintona,95YY11,Fintona
Last Sure Start,Termon,95YY20,Termon
Edenballymore Sure Start,Brandywell,95MM05,Brandywell
Edenballymore Sure Start,The Diamond,95MM28,The Diamond
Edenballymore Sure Start,Westland,95MM30,Westland
Edenballymore Sure Start,Strand,95MM27,Strand
Edenballymore Sure Start,Beechwood,95MM04,Beechwood
Edenballymore Sure Start,Creggan Central,95MM10,Creggan Central
Edenballymore Sure Start,Creggan South,95MM11,Creggan South
Rainbow Sure Start,Castlederg,95ZZ03,Castlederg
Rainbow Sure Start,Glenderg,95ZZ08,Glenderg
Rainbow Sure Start,Clare,95ZZ04,Clare
Rainbow Sure Start,Drumquin,95YY08,Drumquin
Rainbow Sure Start,Newtownstewart,95ZZ09,Newtownstewart
Waterside Sure Start,Victoria,95MM29,Victoria
Waterside Sure Start,Ebrington,95MM14,Ebrington
Waterside Sure Start,Enagh,95MM16,Enagh
Glenbrook Sure Start,Ardoyne,95GG02,Ardoyne
Glenbrook Sure Start,Cliftonville,95GG17,Cliftonville
East Belfast Sure Start,Island,95GG29,Island
East Belfast Sure Start,The Mount,95GG44,The Mount
East Belfast Sure Start,Enler,95II10,Enler
East Belfast Sure Start,Tullycarnet,95II21,Tullycarnet
Colin Neighbourhood Sure Start,Twinbrook,95SS29,Twinbrook
Colin Neighbourhood Sure Start,Poleglass,95SS26,Poleglass
Colin Neighbourhood Sure Start,Old Warren,95SS25,Old Warren
Colin Neighbourhood Sure Start,Kilwee,95SS16,Kilwee
Lower Ards Peninsula Sure Start,Scrabo,95BB22,Scrabo
Lower Ards Peninsula Sure Start,Portavogie,95BB21,Portavogie
Lower Ards Peninsula Sure Start,Kircubbin,95BB15,Kircubbin
Lower Ards Peninsula Sure Start,Ballywalter,95BB03,Ballywalter
Lower Ards Peninsula Sure Start,Portaferry,95BB20,Portaferry
SMILE Sure Start,New Lodge,95GG35,New Lodge
SMILE Sure Start,Duncairn,95GG20,Duncairn
Downpatrick Sure Start,Cathedral,95NN07,Cathedral
Downpatrick Sure Start,Killough,95NN14,Killough
Downpatrick Sure Start,Ballymote,95NN04,Ballymote
Downpatrick Sure Start,Ardglass,95NN01,Ardglass
Downpatrick Sure Start,Audley's Acre,95NN02,Audley's Acre
Downpatrick Sure Start,Strangford,95NN22,Strangford
Downpatrick Sure Start,Quoile,95NN18,Quoile
South Belfast Sure Start,Ballynafeigh,95GG05,Ballynafeigh
South Belfast Sure Start,Botanic,95GG12,Botanic
South Belfast Sure Start,Blackstaff,95GG10,Blackstaff
South Belfast Sure Start,Upper Malone,95GG45,Upper Malone
Clan Mór Sure Start,Clonard,95GG18,Clonard
Clan Mór Sure Start,Falls,95GG21,Falls
Shankill Sure Start,Highfield,95GG28,Highfield
Shankill Sure Start,Glencairn,95GG26,Glencairn
Shankill Sure Start,Woodvale,95GG51,Woodvale
Shankill Sure Start,Ballysillan,95GG06,Ballysillan
Shankill Sure Start,Crumlin,95GG19,Crumlin
Beechmount Sure Start,Beechmount,95GG07,Beechmount
Outer West Belfast Sure Start,Andersonstown,95GG01,Andersonstown
Outer West Belfast Sure Start,Glencolin,95GG27,Glencolin
Outer West Belfast Sure Start,Ladybrook,95GG31,Ladybrook
Saol Ur Sure Start,Falls Park,95GG22,Falls Park
Saol Ur Sure Start,Upper Springfield,95GG46,Upper Springfield
Saol Ur Sure Start,Whiterock,95GG48,Whiterock
