ward_code,osni_ward_lgd,nimdm_ward_lgd
95TT02,BELLAGHY Magherafelt,Bellaghy Magherafelt
95TT03,CASTLEDAWSON Magherafelt,Castledawson Magherafelt
95TT04,DRAPERSTOWN Magherafelt,Draperstown Magherafelt
95TT05,GLEBE Magherafelt,Glebe Magherafelt
95TT06,GULLADUFF Magherafelt,Gulladuff Magherafelt
95TT07,KNOCKCLOGHRIM Magherafelt,Knockcloghrim Magherafelt
95TT08,LECUMPHER Magherafelt,Lecumpher Magherafelt
95TT09,LOWER GLENSHANE Magherafelt,Lower Glenshane Magherafelt
95TT10,MAGHERA Magherafelt,Maghera Magherafelt
95TT11,SWATRAGH Magherafelt,Swatragh Magherafelt
95TT12,TOBERMORE Magherafelt,Tobermore Magherafelt
95TT13,TOWN PARKS EAST Magherafelt,Town Parks East Magherafelt
95TT14,TOWN PARKS WEST Magherafelt,Town Parks West Magherafelt
95TT15,UPPERLANDS Magherafelt,Upperlands Magherafelt
95TT16,VALLEY Magherafelt,Valley Magherafelt
95UU01,ARMOY Moyle,Armoy Moyle
95UU02,BALLYLOUGH Moyle,Ballylough Moyle
95UU03,BONAMARGY AND RATHLIN Moyle,Bonamargy and Rathlin Moyle
95UU04,BUSHMILLS Moyle,Bushmills Moyle
95UU05,CARNMOON Moyle,Carnmoon Moyle
95UU06,DALRIADA Moyle,Dalriada Moyle
95UU07,DUNSEVERICK Moyle,Dunseverick Moyle
95UU08,GLENAAN Moyle,Glenaan Moyle
95UU09,GLENARIFF Moyle,Glenariff Moyle
95UU10,GLENDUN Moyle,Glendun Moyle
95UU11,GLENSHESK Moyle,Glenshesk Moyle
95UU12,GLENTAISIE Moyle,Glentaisie Moyle
95UU13,KINBANE Moyle,Kinbane Moyle
95UU14,KNOCKLAYD Moyle,Knocklayd Moyle
95UU15,MOSS-SIDE AND MOYARGET Moyle,Moss-side and Moyarget Moyle
95WW01,ABBEY Newtownabbey,Abbey Newtownabbey
95WW02,BALLYCLARE NORTH Newtownabbey,Ballyclare North Newtownabbey
95WW03,BALLYCLARE SOUTH Newtownabbey,Ballyclare South Newtownabbey
95WW04,BALLYDUFF Newtownabbey,Ballyduff Newtownabbey
95WW05,BALLYHENRY Newtownabbey,Ballyhenry Newtownabbey
95WW06,BALLYNURE Newtownabbey,Ballynure Newtownabbey
95WW07,BALLYROBERT Newtownabbey,Ballyrobert Newtownabbey
95WW08,BURNTHILL Newtownabbey,Burnthill Newtownabbey
95WW09,CARNMONEY Newtownabbey,Carnmoney Newtownabbey
95WW10,CLOUGHFERN Newtownabbey,Cloughfern Newtownabbey
95WW11,COLLINBRIDGE Newtownabbey,Collinbridge Newtownabbey
95WW12,COOLE Newtownabbey,Coole Newtownabbey
95WW13,DOAGH Newtownabbey,Doagh Newtownabbey
95WW14,DUNANNEY Newtownabbey,Dunanney Newtownabbey
95WW15,GLEBE Newtownabbey,Glebe Newtownabbey
95WW16,GLENGORMLEY Newtownabbey,Glengormley Newtownabbey
95WW17,HAWTHORNE Newtownabbey,Hawthorne Newtownabbey
95WW18,HIGHTOWN Newtownabbey,Hightown Newtownabbey
95WW19,JORDANSTOWN Newtownabbey,Jordanstown Newtownabbey
95WW20,MALLUSK Newtownabbey,Mallusk Newtownabbey
95WW21,MONKSTOWN Newtownabbey,Monkstown Newtownabbey
95WW22,MOSSLEY Newtownabbey,Mossley Newtownabbey
95WW23,ROSTULLA Newtownabbey,Rostulla Newtownabbey
95WW24,VALLEY Newtownabbey,Valley Newtownabbey
95WW25,WHITEHOUSE Newtownabbey,Whitehouse Newtownabbey
95XX01,BALLYCROCHAN North Down,Ballycrochan North Down
95XX02,BALLYHOLME North Down,Ballyholme North Down
95XX03,BALLYMACONNELL North Down,Ballymaconnell North Down
95XX04,BALLYMAGEE North Down,Ballymagee North Down
95XX05,BANGOR CASTLE North Down,Bangor Castle North Down
95XX06,BLOOMFIELD North Down,Bloomfield North Down
95XX07,BROADWAY North Down,Broadway North Down
95XX08,BRYANSBURN North Down,Bryansburn North Down
95XX09,CHURCHILL North Down,Churchill North Down
95XX10,CLANDEBOYE North Down,Clandeboye North Down
95XX11,CONLIG North Down,Conlig North Down
95XX12,CRAIGAVAD North Down,Craigavad North Down
95XX13,CRAWFORDSBURN North Down,Crawfordsburn North Down
95XX14,CULTRA North Down,Cultra North Down
95XX15,DUFFERIN North Down,Dufferin North Down
95XX16,GROOMSPORT North Down,Groomsport North Down
95XX17,HARBOUR North Down,Harbour North Down
95XX18,HOLYWOOD DEMESNE North Down,Holywood Demesne North Down
95XX19,HOLYWOOD PRIORY North Down,Holywood Priory North Down
95XX20,LOUGHVIEW North Down,Loughview North Down
95XX21,PRINCETOWN North Down,Princetown North Down
95XX22,RATHGAEL North Down,Rathgael North Down
95XX23,SILVERSTREAM North Down,Silverstream North Down
95XX25,WHITEHILL North Down,Whitehill North Down
95YY01,BERAGH Omagh,Beragh Omagh
95YY02,CAMOWEN Omagh,Camowen Omagh
95YY03,CLANABOGAN Omagh,Clanabogan Omagh
95YY04,COOLNAGARD Omagh,Coolnagard Omagh
95YY05,DERGMONEY Omagh,Dergmoney Omagh
95YY06,DROMORE Omagh,Dromore Omagh
95YY07,DRUMNAKILLY Omagh,Drumnakilly Omagh
95YY08,DRUMQUIN Omagh,Drumquin Omagh
95YY09,DRUMRAGH Omagh,Drumragh Omagh
95YY10,FAIRY WATER Omagh,Fairy Water Omagh
95YY11,FINTONA Omagh,Fintona Omagh
95YY12,GORTIN Omagh,Gortin Omagh
95YY13,GORTRUSH Omagh,Gortrush Omagh
95YY14,KILLYCLOGHER Omagh,Killyclogher Omagh
95YY15,LISANELLY Omagh,Lisanelly Omagh
95YY16,NEWTOWNSAVILLE Omagh,Newtownsaville Omagh
95YY17,OWENKILLEW Omagh,Owenkillew Omagh
95YY18,SIXMILECROSS Omagh,Sixmilecross Omagh
95YY19,STRULE Omagh,Strule Omagh
95YY20,TERMON Omagh,Termon Omagh
95YY21,TRILLICK Omagh,Trillick Omagh
95ZZ01,ARTIGARVAN Strabane,Artigarvan Strabane
95ZZ02,BALLYCOLMAN Strabane,Ballycolman Strabane
95ZZ03,CASTLEDERG Strabane,Castlederg Strabane
95ZZ04,CLARE Strabane,Clare Strabane
95ZZ05,DUNNAMANAGH Strabane,Dunnamanagh Strabane
95ZZ06,EAST Strabane,East Strabane
95ZZ07,FINN Strabane,Finn Strabane
95ZZ08,GLENDERG Strabane,Glenderg Strabane
95ZZ09,NEWTOWNSTEWART Strabane,Newtownstewart Strabane
95ZZ10,NORTH Strabane,North Strabane
95ZZ11,PLUMBRIDGE Strabane,Plumbridge Strabane
95ZZ12,SION MILLS Strabane,Sion Mills Strabane
95ZZ13,SLIEVEKIRK Strabane,Slievekirk Strabane
95ZZ14,SOUTH Strabane,South Strabane
95ZZ15,VICTORIA BRIDGE Strabane,Victoria Bridge Strabane
95ZZ16,WEST Strabane,West Strabane
