sure start centre,inputted_ward,bestMatch,bestMatchId,bestScore,others,bestLGD,bestCode
South Armagh Sure Start,Derrymore,Derrymore,477,1,Derrynoose|Derryboy,Newry and Mourn,95VV12
South Armagh Sure Start,Newtownhamilton,Newtownhamilton,487,1,Newtownsaville|Newtownbutler,Newry and Mourn,95VV22
Orana Sure Start,Ballybot,Ballybot,467,1,Ballymote|Ballybay,Newry and Mourn,95VV02
Orana Sure Start,Drumalane,Drumalane,479,1,Drumglass|Drumanaway,Newry and Mourn,95VV14
Orana Sure Start,Drumgullion,Drumgullion,480,1,Drumquin|Crumlin,Newry and Mourn,95VV15
Orana Sure Start,Windsor Hill,Windsor Hill,495,1,Windsor|Rich Hill,Newry and Mourn,95VV30
Blossom Sure Start,Annagh,Annagh,252,1,Enagh|Donagh,Craigavon,95LL02
Blossom Sure Start,Ballybay,Ballybay,253,1,Ballybot|Ballysally,Craigavon,95LL03
Blossom Sure Start,Ballyoran,Ballyoran,254,1,Ballyloran|Ballygowan,Craigavon,95LL04
Blossom Sure Start,Brownstown,Brownstown,256,1,Irvinestown|Jordanstown,Craigavon,95LL06
Blossom Sure Start,Tavanagh,Tavanagh,273,1,Annagh|Tonagh,Craigavon,95LL23
Splash Sure Start,Church,Church,257,1,Wynchurch|Churchill,Craigavon,95LL07
Splash Sure Start,Court,Court,259,1,Fort|Church,Craigavon,95LL09
Splash Sure Start,Drumgor,Drumgor,263,1,Drumbo|Drumgask,Craigavon,95LL13
Splash Sure Start,Drumnamoe,Drumnamoe,264,1,Dunnamore|Drumanaway,Craigavon,95LL14
Splash Sure Start,Taghnevan,Taghnevan,272,1,Maghera|Magheralin,Craigavon,95LL22
Strabane Sure Start,North,North,576,1,Fort|South,Strabane,95ZZ10
Strabane Sure Start,South,South,580,1,Route|North,Strabane,95ZZ14
Strabane Sure Start,East,East,572,1,West|Keady,Strabane,95ZZ06
Strabane Sure Start,West,West,582,1,Westland|Forest,Strabane,95ZZ16
Strabane Sure Start,Ballycolman,Ballycolman,568,1,Ballycrochan|Ballygowan,Strabane,95ZZ02
Strabane Sure Start,Sion Mills,Sion Mills,578,1,Clogh Mills|Stranmillis,Strabane,95ZZ12
Strabane Sure Start,Finn,Finn,573,1,Fintona|Finaghy,Strabane,95ZZ07
Strabane Sure Start,Dunnamanagh,Dunnamanagh,571,1,Dunnamore|Tavanagh,Strabane,95ZZ05
Strabane Sure Start,Plumbridge,Plumbridge,577,1,Mayobridge|Collinbridge,Strabane,95ZZ11
Little Hands Sure Start,Springtown,Springtown,302,1,Waringstown|Ebrington,Derry,95MM26
Little Hands Sure Start,Rosemount,Rosemount,299,1,The Mount|Holly Mount,Derry,95MM23
Shantallow Sure Start,Shantallow East,Shantallow East,300,1,Shantallow West|Shankill,Derry,95MM24
Shantallow Sure Start,Shantallow West,Shantallow West,301,1,Shantallow East|Banbridge West,Derry,95MM25
Cherish Sure Start,Irvinestown,Irvinestown,364,1,Brownstown|Waringstown,Fermanagh,95PP13
Cherish Sure Start,Lisnarrick,Lisnarrick,367,1,Lisnacree|Lisnagarvey,Fermanagh,95PP16
Cherish Sure Start,Ballinamallard,Ballinamallard,352,1,Ballynashallog|Ballymaglave,Fermanagh,95PP01
Cherish Sure Start,Trillick,Trillick,566,1,Fortwilliam|Stranmillis,Omagh,95YY21
Cherish Sure Start,Devenish,Devenish,360,1,Slemish|Dunseverick,Fermanagh,95PP09
Cherish Sure Start,Rosslea,Rosslea,372,1,Mossley|Rostulla,Fermanagh,95PP21
Cherish Sure Start,Newtownbutler,Newtownbutler,370,1,Newtownbreda|Newtownsaville,Fermanagh,95PP19
Dungiven Sure Start,The Highlands,The Highlands,403,1,The Diamond|Greenisland,Limavady,95RR14
Dungiven Sure Start,Dungiven,Dungiven,393,1,Dunminning|Duncairn,Limavady,95RR04
Dungiven Sure Start,Feeny,Feeny,395,1,Demesne|Glenavy,Limavady,95RR06
Dungiven Sure Start,Upper Glenshane,Upper Glenshane,404,1,Lower Glenshane|Portglenone,Limavady,95RR15
Dungiven Sure Start,Glack,Glack,397,1,Blackhead|Gilnahirk,Limavady,95RR08
Dungiven Sure Start,Coolessan,Coolessan,392,1,Lissan|Coole,Limavady,95RR03
Dungiven Sure Start,Greystone,Greystone,10,1,Greystone|Gregstown,Antrim,95AA10
Last Sure Start,Lisanelly,Lisanelly,560,1,Lisbane|Lisbellaw,Omagh,95YY15
Last Sure Start,Drumragh,Drumragh,554,1,Drumgask|Drumnamoe,Omagh,95YY09
Last Sure Start,Killyclogher,Killyclogher,559,1,Killylea|Killycrot,Omagh,95YY14
